policy,machine,config,auc_source,auc_target,pauc,balance_ks
ch0,ToyDrone,conf-soft-m300-k1,80.42,37.72,54.63,0.6705
ch0,ToyDrone,ratio-soft-k1,78.1,42.6,53.63,0.4818
ch0,ToyDrone,zscore-soft-k1,76.08,49.06,55.11,0.4489
ch0,ToyDrone,conf-hard-m0-k1,72.82,55.2,59.53,0.4814
ch0,ToyDrone,conf-hard-m10-k1,76.54,47.38,59.32,0.5234
ch0,ToyDrone,conf-hard-m30-k1,78.58,43.72,58.47,0.6063
ch0,ToyDrone,conf-hard-m100-k1,79.82,40.36,56.95,0.6505
ch0,ToyDrone,conf-hard-m300-k1,80.3,38.3,55.84,0.6667
ch0,ToyDrone,ratio-hard-k1,76.62,45.44,54.79,0.5358
ch0,ToyDrone,zscore-hard-k1,71.92,55.98,58.42,0.5101
ch0,ToyDrone,raw-k2,80.3,34.44,51.53,0.7897
ch0,ToyDrone,conf-soft-m0-k2,74.04,52.12,58.89,0.4594
ch0,ToyDrone,conf-soft-m10-k2,77.54,45.96,58.42,0.6228
ch0,ToyDrone,conf-soft-m30-k2,78.92,41.58,56.89,0.7059
ch0,ToyDrone,conf-soft-m100-k2,79.86,37.74,55.0,0.7576
ch0,ToyDrone,conf-soft-m300-k2,80.16,36.3,54.37,0.7784
ch0,ToyDrone,ratio-soft-k2,76.96,42.34,53.05,0.4626
ch0,ToyDrone,zscore-soft-k2,75.82,47.28,54.68,0.4723
ch0,ToyDrone,conf-hard-m0-k2,71.7,55.1,60.37,0.4909
ch0,ToyDrone,conf-hard-m10-k2,76.18,47.98,60.05,0.5842
ch0,ToyDrone,conf-hard-m30-k2,78.2,43.52,58.74,0.6903
ch0,ToyDrone,conf-hard-m100-k2,79.64,39.42,57.11,0.7483
ch0,ToyDrone,conf-hard-m300-k2,80.08,36.96,55.68,0.7743
ch0,ToyDrone,ratio-hard-k2,74.72,47.4,55.05,0.536
ch0,ToyDrone,zscore-hard-k2,70.4,55.7,59.0,0.54
ch0,ToyDrone,raw-k4,80.32,32.06,50.53,0.9352
ch0,ToyDrone,conf-soft-m0-k4,71.74,51.32,59.16,0.417
ch0,ToyDrone,conf-soft-m10-k4,76.18,44.86,57.58,0.7303
ch0,ToyDrone,conf-soft-m30-k4,78.5,40.34,56.05,0.8499
ch0,ToyDrone,conf-soft-m100-k4,79.84,36.82,54.68,0.9028
ch0,ToyDrone,conf-soft-m300-k4,80.16,34.8,53.79,0.9202
ch0,ToyDrone,ratio-soft-k4,75.52,43.06,52.89,0.4794
ch0,ToyDrone,zscore-soft-k4,75.0,45.34,54.16,0.4602
ch0,ToyDrone,conf-hard-m0-k4,68.44,56.86,61.32,0.4655
ch0,ToyDrone,conf-hard-m10-k4,74.86,48.9,60.37,0.6772
ch0,ToyDrone,conf-hard-m30-k4,77.56,43.56,59.16,0.8234
ch0,ToyDrone,conf-hard-m100-k4,79.54,38.52,56.79,0.8939
ch0,ToyDrone,conf-hard-m300-k4,80.08,35.7,55.84,0.917
ch0,ToyDrone,ratio-hard-k4,70.84,51.54,56.84,0.4762
ch0,ToyDrone,zscore-hard-k4,67.7,56.1,59.26,0.5293
ch0,ToyDrone,ldn-ratio-K1,69.2,65.68,60.21,0.5164
ch0,ToyDrone,ldn-ratio-K16,52.1,75.18,56.74,0.6729
ch0,ToyDrone,ldn-diff-K1,67.8,62.8,57.63,0.6188
ch0,ToyDrone,ldn-diff-K16,27.42,84.32,49.26,0.8592
ch0,ToyDrone,conf-soft-m0-ldnK1,69.86,64.76,60.42,0.4663
ch0,ToyDrone,conf-soft-m30-ldnK1,69.94,64.76,60.37,0.4731
