split,machine,config,auc_source,auc_target,pauc,balance_ks
dev,ToyTrain,conf-soft-m30-k4,73.4,59.28,52.63,0.9277
dev,ToyTrain,conf-soft-m100-k4,79.1,61.0,53.58,0.9566
dev,ToyTrain,conf-soft-m300-k4,83.32,62.86,54.74,0.9723
dev,ToyTrain,ratio-soft-k4,83.66,69.74,55.26,0.8729
dev,ToyTrain,zscore-soft-k4,82.54,70.5,55.21,0.8519
dev,ToyTrain,conf-hard-m0-k4,77.1,70.38,55.21,0.6846
dev,ToyTrain,conf-hard-m10-k4,78.34,69.98,55.21,0.7853
dev,ToyTrain,conf-hard-m30-k4,79.7,69.36,55.21,0.8816
dev,ToyTrain,conf-hard-m100-k4,81.86,68.68,55.21,0.9424
dev,ToyTrain,conf-hard-m300-k4,83.8,67.74,55.32,0.9638
dev,ToyTrain,ratio-hard-k4,82.24,70.02,55.32,0.7552
dev,ToyTrain,zscore-hard-k4,78.72,70.28,55.21,0.7394
dev,ToyTrain,ldn-ratio-K1,67.74,64.2,49.95,0.5824
dev,ToyTrain,ldn-ratio-K16,82.44,65.0,53.05,0.8242
dev,ToyTrain,ldn-diff-K1,77.74,70.02,55.37,0.6384
dev,ToyTrain,ldn-diff-K16,74.32,46.36,52.84,0.7505
dev,ToyTrain,conf-soft-m0-ldnK1,67.66,63.78,49.84,0.5796
dev,ToyTrain,conf-soft-m30-ldnK1,67.74,63.96,49.95,0.5824
dev,valve,raw-k1,72.28,76.7,61.53,0.4081
dev,valve,conf-soft-m0-k1,72.86,76.72,61.74,0.3986
dev,valve,conf-soft-m10-k1,72.52,76.52,61.37,0.4014
dev,valve,conf-soft-m30-k1,72.4,76.7,61.37,0.4024
dev,valve,conf-soft-m100-k1,72.34,76.66,61.42,0.4055
dev,valve,conf-soft-m300-k1,72.3,76.62,61.47,0.4073
dev,valve,ratio-soft-k1,72.64,76.04,60.47,0.3933
dev,valve,zscore-soft-k1,72.78,74.98,59.16,0.4028
dev,valve,conf-hard-m0-k1,72.6,76.98,61.53,0.3998
dev,valve,conf-hard-m10-k1,72.46,76.8,61.53,0.4085
dev,valve,conf-hard-m30-k1,72.38,76.7,61.53,0.4081
dev,valve,conf-hard-m100-k1,72.3,76.7,61.53,0.4081
dev,valve,conf-hard-m300-k1,72.28,76.7,61.53,0.4081
dev,valve,ratio-hard-k1,72.6,77.0,61.53,0.3879
dev,valve,zscore-hard-k1,72.68,77.1,61.53,0.4145
dev,valve,raw-k2,71.7,77.26,62.53,0.4283
dev,valve,conf-soft-m0-k2,72.32,76.76,62.32,0.3986
dev,valve,conf-soft-m10-k2,71.86,77.18,62.63,0.4147
dev,valve,conf-soft-m30-k2,71.78,77.3,62.53,0.421
dev,valve,conf-soft-m100-k2,71.68,77.34,62.58,0.4263
dev,valve,conf-soft-m300-k2,71.68,77.32,62.58,0.4269
dev,valve,ratio-soft-k2,72.32,76.24,62.16,0.3974
dev,valve,zscore-soft-k2,72.24,74.38,58.84,0.4006
dev,valve,conf-hard-m0-k2,71.94,77.34,62.53,0.4303
dev,valve,conf-hard-m10-k2,71.8,77.36,62.53,0.4285
dev,valve,conf-hard-m30-k2,71.78,77.36,62.53,0.4285
dev,valve,conf-hard-m100-k2,71.72,77.3,62.53,0.4285
dev,valve,conf-hard-m300-k2,71.7,77.26,62.53,0.4283
dev,valve,ratio-hard-k2,71.96,77.34,62.53,0.4143
dev,valve,zscore-hard-k2,72.1,77.54,62.84,0.4305
dev,valve,raw-k4,70.24,76.12,63.32,0.3986
dev,valve,conf-soft-m0-k4,70.76,75.24,63.42,0.3949
dev,valve,conf-soft-m10-k4,70.58,75.68,63.26,0.3988
dev,valve,conf-soft-m30-k4,70.3,75.96,63.21,0.3984
dev,valve,conf-soft-m100-k4,70.28,76.12,63.26,0.3986
dev,valve,conf-soft-m300-k4,70.22,76.1,63.26,0.3988
dev,valve,ratio-soft-k4,70.76,75.4,63.05,0.3925
dev,valve,zscore-soft-k4,70.78,73.1,60.95,0.3909
dev,valve,conf-hard-m0-k4,70.66,76.3,63.58,0.4046
dev,valve,conf-hard-m10-k4,70.42,76.24,63.32,0.399
dev,valve,conf-hard-m30-k4,70.32,76.18,63.32,0.3986
dev,valve,conf-hard-m100-k4,70.28,76.14,63.32,0.3986
dev,valve,conf-hard-m300-k4,70.26,76.14,63.32,0.3986
dev,valve,ratio-hard-k4,70.42,76.22,63.32,0.4024
dev,valve,zscore-hard-k4,70.68,76.4,63.68,0.4004
dev,valve,ldn-ratio-K1,66.58,63.58,56.79,0.4083
dev,valve,ldn-ratio-K16,68.04,66.82,56.84,0.3962
dev,valve,ldn-diff-K1,66.78,64.5,58.42,0.418
dev,valve,ldn-diff-K16,51.68,54.72,56.05,0.3675
dev,valve,conf-soft-m0-ldnK1,66.6,63.38,56.74,0.4147
dev,valve,conf-soft-m30-ldnK1,66.54,63.46,56.79,0.4141
eval,AutoTrash,raw-k1,79.58,48.74,50.79,0.8024
eval,AutoTrash,conf-soft-m0-k1,72.1,66.22,50.79,0.6248
eval,AutoTrash,conf-soft-m10-k1,75.38,60.3,50.74,0.7487
eval,AutoTrash,conf-soft-m30-k1,77.42,55.62,51.0,0.7802
eval,AutoTrash,conf-soft-m100-k1,78.6,51.76,51.32,0.7949
eval,AutoTrash,conf-soft-m300-k1,79.18,49.6,51.0,0.7996
eval,AutoTrash,ratio-soft-k1,75.34,62.56,50.79,0.6701
eval,AutoTrash,zscore-soft-k1,74.26,62.52,51.16,0.6127
eval,AutoTrash,conf-hard-m0-k1,77.44,62.32,50.95,0.6218
eval,AutoTrash,conf-hard-m10-k1,78.44,59.48,50.95,0.7143
eval,AutoTrash,conf-hard-m30-k1,78.82,56.38,50.95,0.7713
eval,AutoTrash,conf-hard-m100-k1,79.22,52.24,50.95,0.7935
eval,AutoTrash,conf-hard-m300-k1,79.5,50.28,50.89,0.7982
eval,AutoTrash,ratio-hard-k1,77.64,62.46,50.95,0.6259
eval,AutoTrash,zscore-hard-k1,77.48,61.5,50.95,0.6481
eval,AutoTrash,raw-k2,80.02,47.54,50.42,0.7998
eval,AutoTrash,conf-soft-m0-k2,71.9,66.74,50.16,0.6162
eval,AutoTrash,conf-soft-m10-k2,75.48,60.8,50.11,0.7463
eval,AutoTrash,conf-soft-m30-k2,77.72,56.06,50.74,0.7721
eval,AutoTrash,conf-soft-m100-k2,79.16,51.5,50.68,0.7861
eval,AutoTrash,conf-soft-m300-k2,79.68,49.26,50.53,0.7915
eval,AutoTrash,ratio-soft-k2,74.48,63.18,50.05,0.682
eval,AutoTrash,zscore-soft-k2,73.78,61.34,50.84,0.6115
eval,AutoTrash,conf-hard-m0-k2,77.44,62.42,50.89,0.6477
eval,AutoTrash,conf-hard-m10-k2,78.58,59.54,50.89,0.7347
eval,AutoTrash,conf-hard-m30-k2,79.12,56.56,50.89,0.7715
eval,AutoTrash,conf-hard-m100-k2,79.8,52.4,50.74,0.7863
eval,AutoTrash,conf-hard-m300-k2,79.98,49.6,50.58,0.7915
eval,AutoTrash,ratio-hard-k2,77.36,63.02,50.89,0.6321
eval,AutoTrash,zscore-hard-k2,77.3,61.02,50.89,0.6667
eval,AutoTrash,raw-k4,79.86,44.68,50.16,0.8014
