policy,machine,config,auc_source,auc_target,pauc,balance_ks
mix,fan,ldn-ratio-K16,46.6,43.32,49.37,0.3321
mix,fan,ldn-diff-K1,49.47,47.21,48.84,0.3242
mix,fan,ldn-diff-K16,44.66,40.56,48.89,0.3398
mix,fan,conf-soft-m0-ldnK1,50.14,46.94,48.21,0.3109
mix,fan,conf-soft-m30-ldnK1,50.18,46.92,48.21,0.3105
mix,gearboxEmu,raw-k1,63.78,48.24,49.79,0.4533
mix,gearboxEmu,conf-soft-m0-k1,63.44,48.88,49.47,0.4513
mix,gearboxEmu,conf-soft-m10-k1,63.52,48.44,49.53,0.4523
mix,gearboxEmu,conf-soft-m30-k1,63.54,48.36,49.53,0.4525
mix,gearboxEmu,conf-soft-m100-k1,63.74,48.34,49.63,0.4527
mix,gearboxEmu,conf-soft-m300-k1,63.76,48.24,49.63,0.4529
mix,gearboxEmu,ratio-soft-k1,63.36,48.98,49.74,0.4535
mix,gearboxEmu,zscore-soft-k1,63.26,49.24,49.74,0.4521
mix,gearboxEmu,conf-hard-m0-k1,64.44,49.02,49.79,0.4539
mix,gearboxEmu,conf-hard-m10-k1,64.16,48.84,49.79,0.4533
mix,gearboxEmu,conf-hard-m30-k1,63.94,48.48,49.79,0.4533
mix,gearboxEmu,conf-hard-m100-k1,63.84,48.34,49.79,0.4533
mix,gearboxEmu,conf-hard-m300-k1,63.82,48.3,49.79,0.4533
mix,gearboxEmu,ratio-hard-k1,64.36,49.2,49.79,0.4537
mix,gearboxEmu,zscore-hard-k1,64.34,49.3,49.79,0.4527
mix,gearboxEmu,raw-k2,65.34,48.34,49.58,0.4311
mix,gearboxEmu,conf-soft-m0-k2,64.66,49.04,49.42,0.4281
mix,gearboxEmu,conf-soft-m10-k2,65.1,48.74,49.47,0.4299
mix,gearboxEmu,conf-soft-m30-k2,65.14,48.58,49.47,0.4301
mix,gearboxEmu,conf-soft-m100-k2,65.22,48.44,49.53,0.4305
mix,gearboxEmu,conf-soft-m300-k2,65.32,48.38,49.58,0.4307
mix,gearboxEmu,ratio-soft-k2,64.78,49.22,49.58,0.4313
mix,gearboxEmu,zscore-soft-k2,64.86,49.12,49.63,0.4299
mix,gearboxEmu,conf-hard-m0-k2,65.88,49.14,49.58,0.4315
mix,gearboxEmu,conf-hard-m10-k2,65.58,48.8,49.58,0.4309
mix,gearboxEmu,conf-hard-m30-k2,65.5,48.56,49.58,0.4311
mix,gearboxEmu,conf-hard-m100-k2,65.34,48.42,49.58,0.4311
mix,gearboxEmu,conf-hard-m300-k2,65.34,48.36,49.58,0.4311
mix,gearboxEmu,ratio-hard-k2,65.9,49.36,49.58,0.4315
mix,gearboxEmu,zscore-hard-k2,65.84,49.26,49.58,0.4309
mix,gearboxEmu,raw-k4,66.72,48.84,49.68,0.4321
mix,gearboxEmu,conf-soft-m0-k4,66.02,49.22,49.47,0.4287
mix,gearboxEmu,conf-soft-m10-k4,66.42,49.02,49.58,0.4295
mix,gearboxEmu,conf-soft-m30-k4,66.68,48.98,49.47,0.4305
mix,gearboxEmu,conf-soft-m100-k4,66.68,48.86,49.63,0.4311
mix,gearboxEmu,conf-soft-m300-k4,66.7,48.88,49.68,0.4319
mix,gearboxEmu,ratio-soft-k4,66.06,49.54,49.58,0.4331
mix,gearboxEmu,zscore-soft-k4,66.06,49.42,49.58,0.4325
mix,gearboxEmu,conf-hard-m0-k4,67.12,49.62,49.68,0.4327
mix,gearboxEmu,conf-hard-m10-k4,66.96,49.24,49.68,0.4321
mix,gearboxEmu,conf-hard-m30-k4,66.86,49.04,49.68,0.4321
mix,gearboxEmu,conf-hard-m100-k4,66.86,48.88,49.68,0.4321
mix,gearboxEmu,conf-hard-m300-k4,66.8,48.84,49.68,0.4321
mix,gearboxEmu,ratio-hard-k4,67.24,50.04,49.68,0.4323
mix,gearboxEmu,zscore-hard-k4,67.16,49.68,49.68,0.4319
mix,gearboxEmu,ldn-ratio-K1,55.44,44.26,52.11,0.48
mix,gearboxEmu,ldn-ratio-K16,54.94,45.96,51.53,0.3354
mix,gearboxEmu,ldn-diff-K1,54.88,43.66,50.74,0.4404
mix,gearboxEmu,ldn-diff-K16,51.32,48.46,48.42,0.3919
mix,gearboxEmu,conf-soft-m0-ldnK1,55.18,44.14,52.05,0.4838
mix,gearboxEmu,conf-soft-m30-ldnK1,55.22,44.16,52.05,0.4844
mix,sliderEmu,raw-k1,60.66,53.24,49.58,0.5307
mix,sliderEmu,conf-soft-m0-k1,59.54,53.6,49.95,0.5172
mix,sliderEmu,conf-soft-m10-k1,59.86,53.38,49.74,0.5323
mix,sliderEmu,conf-soft-m30-k1,60.34,53.32,49.63,0.5323
mix,sliderEmu,conf-soft-m100-k1,60.5,53.26,49.68,0.5317
mix,sliderEmu,conf-soft-m300-k1,60.56,53.16,49.63,0.5313
mix,sliderEmu,ratio-soft-k1,59.9,53.3,49.79,0.5186
mix,sliderEmu,zscore-soft-k1,59.96,53.42,49.63,0.52
mix,sliderEmu,conf-hard-m0-k1,60.08,52.7,49.58,0.5313
mix,sliderEmu,conf-hard-m10-k1,60.28,52.94,49.58,0.5311
mix,sliderEmu,conf-hard-m30-k1,60.46,53.02,49.58,0.5309
mix,sliderEmu,conf-hard-m100-k1,60.54,53.18,49.58,0.5307
mix,sliderEmu,conf-hard-m300-k1,60.64,53.18,49.58,0.5307
mix,sliderEmu,ratio-hard-k1,60.04,52.68,49.58,0.5313
mix,sliderEmu,zscore-hard-k1,60.14,52.7,49.58,0.5311
mix,sliderEmu,raw-k2,62.18,51.98,49.47,0.5372
mix,sliderEmu,conf-soft-m0-k2,60.44,52.04,49.58,0.5127
mix,sliderEmu,conf-soft-m10-k2,61.5,52.2,49.58,0.5267
mix,sliderEmu,conf-soft-m30-k2,61.98,52.14,49.53,0.5311
mix,sliderEmu,conf-soft-m100-k2,62.08,52.14,49.53,0.5347
mix,sliderEmu,conf-soft-m300-k2,62.14,52.0,49.47,0.537
mix,sliderEmu,ratio-soft-k2,61.36,52.0,49.63,0.52
mix,sliderEmu,zscore-soft-k2,61.34,51.94,49.63,0.5156
mix,sliderEmu,conf-hard-m0-k2,61.76,51.5,49.47,0.5376
mix,sliderEmu,conf-hard-m10-k2,61.9,51.76,49.47,0.5374
mix,sliderEmu,conf-hard-m30-k2,62.06,51.9,49.47,0.5374
mix,sliderEmu,conf-hard-m100-k2,62.12,51.94,49.47,0.5372
mix,sliderEmu,conf-hard-m300-k2,62.14,51.98,49.47,0.5372
mix,sliderEmu,ratio-hard-k2,61.7,51.44,49.47,0.5376
mix,sliderEmu,zscore-hard-k2,61.74,51.54,49.47,0.5374
mix,sliderEmu,raw-k4,61.58,50.76,49.37,0.5311
mix,sliderEmu,conf-soft-m0-k4,59.86,50.2,49.58,0.4909
mix,sliderEmu,conf-soft-m10-k4,60.64,50.28,49.42,0.5176
mix,sliderEmu,conf-soft-m30-k4,60.92,50.66,49.47,0.5257
mix,sliderEmu,conf-soft-m100-k4,61.34,50.76,49.42,0.5283
mix,sliderEmu,conf-soft-m300-k4,61.42,50.76,49.37,0.5293
mix,sliderEmu,ratio-soft-k4,60.48,50.34,49.68,0.5012
mix,sliderEmu,zscore-soft-k4,60.58,50.26,49.58,0.4939
mix,sliderEmu,conf-hard-m0-k4,61.02,50.28,49.37,0.5311
mix,sliderEmu,conf-hard-m10-k4,61.3,50.5,49.37,0.5311
mix,sliderEmu,conf-hard-m30-k4,61.48,50.54,49.37,0.5311
mix,sliderEmu,conf-hard-m100-k4,61.54,50.72,49.37,0.5311
mix,sliderEmu,conf-hard-m300-k4,61.54,50.74,49.37,0.5311
mix,sliderEmu,ratio-hard-k4,61.16,50.32,49.37,0.5313
mix,sliderEmu,zscore-hard-k4,61.2,50.4,49.37,0.5311
mix,sliderEmu,ldn-ratio-K1,51.92,52.64,51.47,0.5798
mix,sliderEmu,ldn-ratio-K16,63.84,54.66,52.21,0.5992
mix,sliderEmu,ldn-diff-K1,50.96,51.6,50.63,0.5941
mix,sliderEmu,ldn-diff-K16,42.8,53.22,50.26,0.3444
mix,sliderEmu,conf-soft-m0-ldnK1,52.2,53.02,51.42,0.5774
mix,sliderEmu,conf-soft-m30-ldnK1,52.28,53.12,51.42,0.579
mix,valveEmu,raw-k1,69.52,70.7,50.74,0.3382
mix,valveEmu,conf-soft-m0-k1,69.46,71.52,50.95,0.336
mix,valveEmu,conf-soft-m10-k1,69.52,71.16,50.84,0.3386
mix,valveEmu,conf-soft-m30-k1,69.52,70.94,50.84,0.3386
mix,valveEmu,conf-soft-m100-k1,69.52,70.8,50.79,0.3382
mix,valveEmu,conf-soft-m300-k1,69.52,70.72,50.74,0.3378
mix,valveEmu,ratio-soft-k1,69.52,70.58,50.74,0.3495
mix,valveEmu,zscore-soft-k1,69.34,69.94,50.53,0.357
mix,valveEmu,conf-hard-m0-k1,69.44,70.52,50.74,0.3394
mix,valveEmu,conf-hard-m10-k1,69.48,70.62,50.74,0.3388
mix,valveEmu,conf-hard-m30-k1,69.52,70.66,50.74,0.3384
mix,valveEmu,conf-hard-m100-k1,69.52,70.66,50.74,0.3382
mix,valveEmu,conf-hard-m300-k1,69.52,70.7,50.74,0.3382
mix,valveEmu,ratio-hard-k1,69.54,70.62,50.74,0.3378
mix,valveEmu,zscore-hard-k1,69.54,70.9,50.74,0.338
mix,valveEmu,raw-k2,70.1,71.64,50.95,0.3669
mix,valveEmu,conf-soft-m0-k2,70.12,72.4,51.21,0.361
mix,valveEmu,conf-soft-m10-k2,70.14,72.06,51.0,0.3638
mix,valveEmu,conf-soft-m30-k2,70.14,71.9,50.89,0.3655
mix,valveEmu,conf-soft-m100-k2,70.12,71.8,50.89,0.3665
mix,valveEmu,conf-soft-m300-k2,70.08,71.72,50.89,0.3667
mix,valveEmu,ratio-soft-k2,70.14,71.38,50.89,0.381
mix,valveEmu,zscore-soft-k2,70.08,70.82,50.68,0.3883
mix,valveEmu,conf-hard-m0-k2,70.06,71.48,50.95,0.3671
mix,valveEmu,conf-hard-m10-k2,70.08,71.58,50.95,0.3671
mix,valveEmu,conf-hard-m30-k2,70.1,71.62,50.95,0.3669
mix,valveEmu,conf-hard-m100-k2,70.1,71.62,50.95,0.3669
mix,valveEmu,conf-hard-m300-k2,70.1,71.64,50.95,0.3669
mix,valveEmu,ratio-hard-k2,70.1,71.48,50.95,0.3661
mix,valveEmu,zscore-hard-k2,70.2,71.74,50.95,0.3648
mix,valveEmu,raw-k4,69.94,71.48,50.84,0.3693
mix,valveEmu,conf-soft-m0-k4,70.3,71.8,51.05,0.3687
mix,valveEmu,conf-soft-m10-k4,70.18,71.68,50.95,0.3677
mix,valveEmu,conf-soft-m30-k4,70.1,71.66,50.89,0.3683
mix,valveEmu,conf-soft-m100-k4,69.98,71.54,50.89,0.3687
mix,valveEmu,conf-soft-m300-k4,69.94,71.52,50.84,0.3687
mix,valveEmu,ratio-soft-k4,70.3,71.08,50.79,0.3832
mix,valveEmu,zscore-soft-k4,70.04,70.72,50.63,0.3911
mix,valveEmu,conf-hard-m0-k4,69.86,71.24,50.84,0.3697
mix,valveEmu,conf-hard-m10-k4,69.92,71.4,50.84,0.3693
mix,valveEmu,conf-hard-m30-k4,69.94,71.46,50.84,0.3693
mix,valveEmu,conf-hard-m100-k4,69.94,71.48,50.84,0.3693
mix,valveEmu,conf-hard-m300-k4,69.94,71.48,50.84,0.3693
mix,valveEmu,ratio-hard-k4,69.86,71.18,50.84,0.3685
mix,valveEmu,zscore-hard-k4,70.04,71.36,50.84,0.3673
mix,valveEmu,ldn-ratio-K1,64.96,68.62,54.0,0.3943
mix,valveEmu,ldn-ratio-K16,61.96,62.9,53.89,0.3846
mix,valveEmu,ldn-diff-K1,65.66,68.36,55.63,0.3943
mix,valveEmu,ldn-diff-K16,51.7,47.28,55.58,0.3469
mix,valveEmu,conf-soft-m0-ldnK1,64.82,68.24,54.05,0.3998
mix,valveEmu,conf-soft-m30-ldnK1,64.78,68.24,54.05,0.3988
