policy,machine,config,auc_source,auc_target,pauc,balance_ks
mix,ToothBrush,conf-soft-m0-ldnK1,50.94,46.94,50.53,0.4
mix,ToothBrush,conf-soft-m30-ldnK1,50.96,46.94,50.53,0.3994
mix,ToyDrone,raw-k1,75.81,36.24,52.68,0.7232
mix,ToyDrone,conf-soft-m0-k1,64.86,54.24,56.89,0.4287
mix,ToyDrone,conf-soft-m10-k1,70.44,47.06,57.32,0.5598
mix,ToyDrone,conf-soft-m30-k1,73.06,42.52,57.16,0.6537
mix,ToyDrone,conf-soft-m100-k1,74.9,39.94,55.37,0.6986
mix,ToyDrone,conf-soft-m300-k1,75.56,38.58,55.21,0.7117
mix,ToyDrone,ratio-soft-k1,70.1,49.2,54.68,0.5521
mix,ToyDrone,zscore-soft-k1,68.76,52.5,56.32,0.4608
mix,ToyDrone,conf-hard-m0-k1,60.93,56.28,57.37,0.4493
mix,ToyDrone,conf-hard-m10-k1,68.87,48.2,56.63,0.5226
mix,ToyDrone,conf-hard-m30-k1,72.11,42.92,56.68,0.6339
mix,ToyDrone,conf-hard-m100-k1,74.59,39.6,55.16,0.6937
mix,ToyDrone,conf-hard-m300-k1,75.43,38.4,54.53,0.7103
mix,ToyDrone,ratio-hard-k1,65.35,53.74,55.42,0.5731
mix,ToyDrone,zscore-hard-k1,60.89,59.02,56.95,0.5028
mix,ToyDrone,raw-k2,76.12,32.58,51.84,0.8002
mix,ToyDrone,conf-soft-m0-k2,66.18,51.92,57.74,0.4299
mix,ToyDrone,conf-soft-m10-k2,71.32,44.8,57.84,0.6135
mix,ToyDrone,conf-soft-m30-k2,73.98,40.34,56.89,0.7234
mix,ToyDrone,conf-soft-m100-k2,75.56,37.0,55.42,0.7731
mix,ToyDrone,conf-soft-m300-k2,75.92,35.06,55.11,0.7867
mix,ToyDrone,ratio-soft-k2,71.64,43.22,54.0,0.4834
mix,ToyDrone,zscore-soft-k2,70.0,48.32,55.79,0.4602
mix,ToyDrone,conf-hard-m0-k2,62.2,54.68,57.74,0.4511
mix,ToyDrone,conf-hard-m10-k2,69.98,45.64,57.16,0.5802
mix,ToyDrone,conf-hard-m30-k2,72.56,41.12,56.68,0.7024
mix,ToyDrone,conf-hard-m100-k2,75.1,36.68,54.53,0.7677
mix,ToyDrone,conf-hard-m300-k2,75.88,35.06,54.42,0.7838
mix,ToyDrone,ratio-hard-k2,67.96,47.24,54.37,0.5315
mix,ToyDrone,zscore-hard-k2,61.54,55.54,57.32,0.4875
mix,ToyDrone,raw-k4,77.48,30.48,50.79,0.9354
mix,ToyDrone,conf-soft-m0-k4,65.32,51.98,57.63,0.3812
mix,ToyDrone,conf-soft-m10-k4,71.3,44.44,57.68,0.7152
mix,ToyDrone,conf-soft-m30-k4,74.62,39.44,56.26,0.8404
mix,ToyDrone,conf-soft-m100-k4,76.7,35.7,54.84,0.901
mix,ToyDrone,conf-soft-m300-k4,77.24,33.64,54.05,0.9226
mix,ToyDrone,ratio-soft-k4,71.46,43.3,53.63,0.4655
mix,ToyDrone,zscore-soft-k4,70.74,46.8,55.32,0.4521
mix,ToyDrone,conf-hard-m0-k4,60.76,55.74,58.05,0.4224
mix,ToyDrone,conf-hard-m10-k4,68.76,46.08,57.32,0.6713
mix,ToyDrone,conf-hard-m30-k4,72.96,40.84,56.74,0.8198
mix,ToyDrone,conf-hard-m100-k4,76.28,35.78,54.84,0.8927
mix,ToyDrone,conf-hard-m300-k4,77.18,33.68,54.42,0.9184
mix,ToyDrone,ratio-hard-k4,65.18,50.3,55.0,0.4903
mix,ToyDrone,zscore-hard-k4,60.28,56.24,57.37,0.4984
mix,ToyDrone,ldn-ratio-K1,60.34,70.58,54.16,0.5081
mix,ToyDrone,ldn-ratio-K16,43.34,80.36,52.68,0.5909
mix,ToyDrone,ldn-diff-K1,62.56,68.14,57.89,0.5792
mix,ToyDrone,ldn-diff-K16,27.64,80.26,49.53,0.8214
mix,ToyDrone,conf-soft-m0-ldnK1,61.08,69.36,53.84,0.4962
mix,ToyDrone,conf-soft-m30-ldnK1,61.1,69.34,54.05,0.4968
