policy,machine,config,auc_source,auc_target,pauc,balance_ks
ch0,fan,conf-hard-m10-k2,48.06,43.06,49.95,0.2945
ch0,fan,conf-hard-m30-k2,48.02,43.04,49.95,0.2945
ch0,fan,conf-hard-m100-k2,48.02,43.0,49.95,0.2947
ch0,fan,conf-hard-m300-k2,48.02,43.0,49.95,0.2947
ch0,fan,ratio-hard-k2,48.1,43.18,49.95,0.2941
ch0,fan,zscore-hard-k2,47.42,42.22,49.95,0.2937
ch0,fan,raw-k4,47.08,41.06,49.95,0.3059
ch0,fan,conf-soft-m0-k4,47.46,41.16,50.21,0.3067
ch0,fan,conf-soft-m10-k4,47.3,41.04,50.05,0.3055
ch0,fan,conf-soft-m30-k4,47.24,41.04,50.11,0.3059
ch0,fan,conf-soft-m100-k4,47.14,41.06,50.0,0.3057
ch0,fan,conf-soft-m300-k4,47.1,41.08,49.95,0.3055
ch0,fan,ratio-soft-k4,47.2,41.18,49.89,0.3127
ch0,fan,zscore-soft-k4,46.94,40.82,50.11,0.3166
ch0,fan,conf-hard-m0-k4,47.06,41.08,49.95,0.3032
ch0,fan,conf-hard-m10-k4,47.06,41.06,49.95,0.3042
ch0,fan,conf-hard-m30-k4,47.06,41.06,49.95,0.3055
ch0,fan,conf-hard-m100-k4,47.06,41.06,49.95,0.3057
ch0,fan,conf-hard-m300-k4,47.08,41.06,49.95,0.3057
ch0,fan,ratio-hard-k4,47.08,41.14,49.95,0.3036
ch0,fan,zscore-hard-k4,46.36,40.38,49.95,0.3028
ch0,fan,ldn-ratio-K1,46.9,36.74,48.16,0.3246
ch0,fan,ldn-ratio-K16,48.78,41.16,48.0,0.3505
ch0,fan,ldn-diff-K1,46.64,36.32,48.05,0.3325
ch0,fan,ldn-diff-K16,49.0,44.16,48.37,0.3451
ch0,fan,conf-soft-m0-ldnK1,46.92,36.86,48.16,0.3251
ch0,fan,conf-soft-m30-ldnK1,46.92,36.84,48.16,0.3248
ch0,gearboxEmu,raw-k1,70.64,50.42,51.68,0.5061
ch0,gearboxEmu,conf-soft-m0-k1,69.3,53.8,50.74,0.4881
ch0,gearboxEmu,conf-soft-m10-k1,70.02,52.24,50.37,0.4964
ch0,gearboxEmu,conf-soft-m30-k1,70.26,50.86,50.21,0.5008
ch0,gearboxEmu,conf-soft-m100-k1,70.42,50.2,50.42,0.5034
ch0,gearboxEmu,conf-soft-m300-k1,70.56,50.1,50.63,0.5055
ch0,gearboxEmu,ratio-soft-k1,69.66,52.56,50.95,0.4919
ch0,gearboxEmu,zscore-soft-k1,69.36,52.84,51.05,0.4952
ch0,gearboxEmu,conf-hard-m0-k1,70.66,55.56,51.74,0.5079
ch0,gearboxEmu,conf-hard-m10-k1,70.64,53.52,51.95,0.5065
ch0,gearboxEmu,conf-hard-m30-k1,70.64,51.88,51.84,0.5063
ch0,gearboxEmu,conf-hard-m100-k1,70.64,50.84,51.63,0.5063
ch0,gearboxEmu,conf-hard-m300-k1,70.64,50.54,51.58,0.5063
ch0,gearboxEmu,ratio-hard-k1,70.64,54.08,51.84,0.5071
ch0,gearboxEmu,zscore-hard-k1,70.64,54.62,51.63,0.5071
ch0,gearboxEmu,raw-k2,71.74,48.66,51.58,0.4703
ch0,gearboxEmu,conf-soft-m0-k2,70.74,51.26,50.63,0.4465
ch0,gearboxEmu,conf-soft-m10-k2,71.18,49.94,50.68,0.459
ch0,gearboxEmu,conf-soft-m30-k2,71.44,49.16,50.32,0.4665
ch0,gearboxEmu,conf-soft-m100-k2,71.64,48.68,50.58,0.4681
ch0,gearboxEmu,conf-soft-m300-k2,71.64,48.52,50.58,0.4693
ch0,gearboxEmu,ratio-soft-k2,70.88,49.52,50.84,0.4509
ch0,gearboxEmu,zscore-soft-k2,70.66,49.64,50.89,0.4556
ch0,gearboxEmu,conf-hard-m0-k2,71.74,53.1,51.58,0.4723
ch0,gearboxEmu,conf-hard-m10-k2,71.78,50.64,51.74,0.4713
ch0,gearboxEmu,conf-hard-m30-k2,71.78,49.74,51.74,0.4713
ch0,gearboxEmu,conf-hard-m100-k2,71.76,49.06,51.53,0.4707
ch0,gearboxEmu,conf-hard-m300-k2,71.74,48.88,51.42,0.4705
ch0,gearboxEmu,ratio-hard-k2,71.72,50.3,51.74,0.4713
ch0,gearboxEmu,zscore-hard-k2,71.72,50.64,51.74,0.4711
ch0,gearboxEmu,raw-k4,71.26,48.62,51.47,0.4497
ch0,gearboxEmu,conf-soft-m0-k4,70.38,50.2,50.79,0.4412
ch0,gearboxEmu,conf-soft-m10-k4,70.92,49.42,50.53,0.443
ch0,gearboxEmu,conf-soft-m30-k4,71.12,49.02,50.58,0.4469
ch0,gearboxEmu,conf-soft-m100-k4,71.28,48.68,50.58,0.4481
ch0,gearboxEmu,conf-soft-m300-k4,71.26,48.48,50.68,0.4483
ch0,gearboxEmu,ratio-soft-k4,70.54,49.28,50.89,0.4424
ch0,gearboxEmu,zscore-soft-k4,70.42,49.46,50.89,0.4517
ch0,gearboxEmu,conf-hard-m0-k4,71.22,51.82,51.58,0.4515
ch0,gearboxEmu,conf-hard-m10-k4,71.3,50.34,51.79,0.4503
ch0,gearboxEmu,conf-hard-m30-k4,71.28,49.6,51.74,0.4501
ch0,gearboxEmu,conf-hard-m100-k4,71.26,48.98,51.37,0.4499
ch0,gearboxEmu,conf-hard-m300-k4,71.26,48.76,51.47,0.4499
ch0,gearboxEmu,ratio-hard-k4,71.2,50.18,51.68,0.4509
ch0,gearboxEmu,zscore-hard-k4,71.2,50.44,51.74,0.4499
ch0,gearboxEmu,ldn-ratio-K1,68.76,60.58,51.95,0.5036
ch0,gearboxEmu,ldn-ratio-K16,66.9,59.2,55.26,0.4501
ch0,gearboxEmu,ldn-diff-K1,68.5,59.78,52.11,0.5267
ch0,gearboxEmu,ldn-diff-K16,55.41,46.18,49.42,0.3378
ch0,gearboxEmu,conf-soft-m0-ldnK1,68.62,60.46,51.84,0.5014
ch0,gearboxEmu,conf-soft-m30-ldnK1,68.66,60.44,51.84,0.5024
ch0,sliderEmu,raw-k1,63.36,51.0,51.47,0.5301
ch0,sliderEmu,conf-soft-m0-k1,62.9,51.76,51.63,0.5479
ch0,sliderEmu,conf-soft-m10-k1,63.06,51.4,51.63,0.5356
ch0,sliderEmu,conf-soft-m30-k1,63.22,51.36,51.53,0.5323
ch0,sliderEmu,conf-soft-m100-k1,63.38,51.08,51.42,0.5309
ch0,sliderEmu,conf-soft-m300-k1,63.3,51.02,51.37,0.5307
ch0,sliderEmu,ratio-soft-k1,62.94,51.72,51.74,0.5418
ch0,sliderEmu,zscore-soft-k1,63.18,51.58,51.58,0.5426
ch0,sliderEmu,conf-hard-m0-k1,62.68,52.44,52.0,0.5303
ch0,sliderEmu,conf-hard-m10-k1,62.98,51.84,51.95,0.5303
ch0,sliderEmu,conf-hard-m30-k1,63.22,51.34,51.79,0.5303
ch0,sliderEmu,conf-hard-m100-k1,63.28,51.2,51.53,0.5301
ch0,sliderEmu,conf-hard-m300-k1,63.34,51.08,51.53,0.5301
ch0,sliderEmu,ratio-hard-k1,62.64,52.56,52.0,0.5303
ch0,sliderEmu,zscore-hard-k1,62.56,51.94,51.84,0.5303
ch0,sliderEmu,raw-k2,64.44,50.12,51.37,0.538
ch0,sliderEmu,conf-soft-m0-k2,63.54,50.58,51.68,0.5448
ch0,sliderEmu,conf-soft-m10-k2,63.78,50.42,51.58,0.54
ch0,sliderEmu,conf-soft-m30-k2,64.06,50.3,51.58,0.54
ch0,sliderEmu,conf-soft-m100-k2,64.24,50.18,51.42,0.5388
ch0,sliderEmu,conf-soft-m300-k2,64.38,50.18,51.37,0.5382
ch0,sliderEmu,ratio-soft-k2,63.6,50.82,51.89,0.5396
ch0,sliderEmu,zscore-soft-k2,64.0,50.6,51.74,0.5459
ch0,sliderEmu,conf-hard-m0-k2,63.76,51.76,52.0,0.5382
ch0,sliderEmu,conf-hard-m10-k2,64.08,50.88,51.95,0.5382
ch0,sliderEmu,conf-hard-m30-k2,64.22,50.46,51.58,0.538
ch0,sliderEmu,conf-hard-m100-k2,64.3,50.2,51.47,0.538
ch0,sliderEmu,conf-hard-m300-k2,64.36,50.16,51.47,0.538
ch0,sliderEmu,ratio-hard-k2,63.62,51.86,52.0,0.5382
ch0,sliderEmu,zscore-hard-k2,63.66,51.1,51.84,0.5382
ch0,sliderEmu,raw-k4,65.82,49.54,51.16,0.5465
ch0,sliderEmu,conf-soft-m0-k4,65.12,50.08,51.37,0.5446
ch0,sliderEmu,conf-soft-m10-k4,65.42,49.86,51.42,0.5479
ch0,sliderEmu,conf-soft-m30-k4,65.64,49.82,51.37,0.5467
ch0,sliderEmu,conf-soft-m100-k4,65.78,49.62,51.21,0.5465
ch0,sliderEmu,conf-soft-m300-k4,65.78,49.58,51.21,0.5465
ch0,sliderEmu,ratio-soft-k4,65.38,49.98,51.32,0.5426
ch0,sliderEmu,zscore-soft-k4,65.58,49.92,51.42,0.544
ch0,sliderEmu,conf-hard-m0-k4,65.12,51.1,51.63,0.5467
ch0,sliderEmu,conf-hard-m10-k4,65.44,50.4,51.63,0.5467
ch0,sliderEmu,conf-hard-m30-k4,65.6,50.0,51.32,0.5467
ch0,sliderEmu,conf-hard-m100-k4,65.74,49.68,51.26,0.5465
ch0,sliderEmu,conf-hard-m300-k4,65.78,49.56,51.16,0.5465
ch0,sliderEmu,ratio-hard-k4,65.08,51.24,51.63,0.5467
ch0,sliderEmu,zscore-hard-k4,65.12,50.46,51.53,0.5467
ch0,sliderEmu,ldn-ratio-K1,57.12,54.32,52.53,0.4992
ch0,sliderEmu,ldn-ratio-K16,62.62,57.74,54.79,0.5994
ch0,sliderEmu,ldn-diff-K1,58.44,54.94,52.37,0.5044
ch0,sliderEmu,ldn-diff-K16,46.0,42.08,47.95,0.3378
ch0,sliderEmu,conf-soft-m0-ldnK1,56.66,54.2,52.63,0.5073
ch0,sliderEmu,conf-soft-m30-ldnK1,56.82,54.14,52.53,0.5069
ch0,valveEmu,raw-k1,69.86,74.56,52.63,0.3794
ch0,valveEmu,conf-soft-m0-k1,70.36,74.6,52.79,0.3661
ch0,valveEmu,conf-soft-m10-k1,70.04,74.7,52.79,0.3709
ch0,valveEmu,conf-soft-m30-k1,69.94,74.62,52.79,0.3747
ch0,valveEmu,conf-soft-m100-k1,69.9,74.56,52.68,0.377
ch0,valveEmu,conf-soft-m300-k1,69.84,74.54,52.63,0.3786
ch0,valveEmu,ratio-soft-k1,69.78,74.06,52.42,0.3752
ch0,valveEmu,zscore-soft-k1,69.52,73.58,51.84,0.3768
ch0,valveEmu,conf-hard-m0-k1,69.86,74.5,52.63,0.3788
ch0,valveEmu,conf-hard-m10-k1,69.86,74.52,52.63,0.3766
ch0,valveEmu,conf-hard-m30-k1,69.86,74.52,52.63,0.3778
ch0,valveEmu,conf-hard-m100-k1,69.86,74.54,52.63,0.3794
ch0,valveEmu,conf-hard-m300-k1,69.86,74.54,52.63,0.3794
ch0,valveEmu,ratio-hard-k1,70.14,74.7,52.63,0.3816
ch0,valveEmu,zscore-hard-k1,70.26,74.78,52.63,0.3826
ch0,valveEmu,raw-k2,70.72,74.34,52.42,0.3952
ch0,valveEmu,conf-soft-m0-k2,71.14,74.34,52.74,0.3762
ch0,valveEmu,conf-soft-m10-k2,71.04,74.42,52.68,0.3901
ch0,valveEmu,conf-soft-m30-k2,70.94,74.36,52.53,0.3921
ch0,valveEmu,conf-soft-m100-k2,70.82,74.38,52.53,0.3947
ch0,valveEmu,conf-soft-m300-k2,70.78,74.34,52.42,0.3952
ch0,valveEmu,ratio-soft-k2,71.14,73.9,52.21,0.3828
ch0,valveEmu,zscore-soft-k2,70.52,73.2,51.47,0.3958
ch0,valveEmu,conf-hard-m0-k2,70.7,74.32,52.42,0.397
ch0,valveEmu,conf-hard-m10-k2,70.7,74.32,52.42,0.3947
ch0,valveEmu,conf-hard-m30-k2,70.7,74.32,52.42,0.3954
ch0,valveEmu,conf-hard-m100-k2,70.7,74.32,52.42,0.3952
ch0,valveEmu,conf-hard-m300-k2,70.7,74.32,52.42,0.3954
ch0,valveEmu,ratio-hard-k2,70.94,74.42,52.42,0.3974
ch0,valveEmu,zscore-hard-k2,71.06,74.58,52.42,0.3992
ch0,valveEmu,raw-k4,70.82,73.66,52.11,0.3931
ch0,valveEmu,conf-soft-m0-k4,71.2,73.72,52.05,0.3826
ch0,valveEmu,conf-soft-m10-k4,70.96,73.68,52.11,0.3907
ch0,valveEmu,conf-soft-m30-k4,70.92,73.68,52.11,0.3925
ch0,valveEmu,conf-soft-m100-k4,70.88,73.66,52.11,0.3929
ch0,valveEmu,conf-soft-m300-k4,70.8,73.66,52.11,0.3929
ch0,valveEmu,ratio-soft-k4,71.1,73.3,51.89,0.3826
ch0,valveEmu,zscore-soft-k4,70.54,72.8,51.42,0.3996
ch0,valveEmu,conf-hard-m0-k4,70.8,73.66,52.11,0.4061
ch0,valveEmu,conf-hard-m10-k4,70.8,73.66,52.11,0.3929
ch0,valveEmu,conf-hard-m30-k4,70.82,73.66,52.11,0.3929
ch0,valveEmu,conf-hard-m100-k4,70.82,73.66,52.11,0.3931
ch0,valveEmu,conf-hard-m300-k4,70.82,73.66,52.11,0.3931
ch0,valveEmu,ratio-hard-k4,71.02,73.8,52.11,0.403
ch0,valveEmu,zscore-hard-k4,71.12,73.98,52.11,0.3964
ch0,valveEmu,ldn-ratio-K1,72.94,75.86,64.58,0.3453
ch0,valveEmu,ldn-ratio-K16,69.78,74.12,61.42,0.3354
ch0,valveEmu,ldn-diff-K1,73.56,75.84,64.53,0.3293
ch0,valveEmu,ldn-diff-K16,55.48,62.64,59.16,0.2731
ch0,valveEmu,conf-soft-m0-ldnK1,72.98,75.7,64.63,0.3406
ch0,valveEmu,conf-soft-m30-ldnK1,72.96,75.72,64.58,0.342
